rank,appid
535,4632350
536,1593010
537,3245640
538,4859110
539,3107870
540,3833280
541,1154960
542,4890760
543,4928450
544,2445260
545,4244910
546,2593320
547,3015820
548,3405880
549,2509360
550,2915770
551,3574750
552,2914820
553,1447250
554,3001740
555,2902170
556,3107290
557,4112270
558,4502750
559,4623290
560,2409320
561,3183480
562,4175180
563,2852700
564,4223290
565,1113400
566,3373500
567,4418080
568,4434610
569,4253570
570,3141390
571,1053900
572,2960460
573,2434830
574,3963620
575,3802140
576,2478130
577,3595450
578,1906190
579,2522120
580,2786760
581,3871670
582,2251970
583,4267860
584,4554250
585,1207360
586,4533250
587,4072240
588,4230950
589,1186430
590,3305930
591,1624930
592,3631230
593,687440
594,3008640
595,1917990
596,2900640
597,2600920
598,1792100
599,3115870
600,2663960
601,4358660
602,860210
603,2872240
604,1779540
605,3058660
606,2640090
607,2893350
608,4414560
609,1779610
610,2409660
611,3883910
612,2987350
613,2781660
614,2593290
615,2614370
616,4683260
617,2067210
618,4687860
619,3799530
620,4119090
621,2826790
622,4781330
623,4239670
624,4089140
625,3094690
626,4413070
627,4732690
628,3669430
629,1149450
630,4108680
631,4686110
632,3676410
633,1622130
634,2262630
635,2974160
636,2160070
637,4067370
638,3176500
639,4348910
640,4029090
641,2302120
642,3798860
643,3699590
644,2193150
645,3201730
646,2589980
647,2573060
648,1460210
649,3756700
650,1505940
651,4317460
652,4251460
653,1260940
654,4078190
655,2710040
656,3664440
657,2082980
658,3185060
659,2789680
660,2946850
661,4767090
662,2251170
663,3778820
664,4124340
665,443190
666,2961860
667,3268370
668,4753290
669,4151300
670,3983860
671,2960250
672,1748280
673,4328820
674,4661070
675,4259360
676,3397040
677,969330
678,4115300
679,2261560
680,3925150
681,3456950
682,2544820
683,2616540
684,4557380
685,1937070
686,3812830
687,4170840
688,3154460
689,3498720
690,4459590
691,3864190
692,3989240
693,2708040
694,1443980
695,2530870
696,1104600
697,1101370
698,3225880
699,4358270
700,4461460
701,2843060
702,3838790
703,4876650
704,994680
705,3587020
706,3596040
707,3434920
708,3078140
709,2975680
710,4413130
711,3078760
712,2397320
713,3370490
714,908770
715,3348640
716,2464520
717,3144010
718,1368050
719,3038500
720,2666580
721,4017880
722,3743140
723,4735760
724,3399240
725,3908940
726,2355020
727,3024130
728,3744040
729,3470850
730,3922000
731,4267870
732,1511480
733,2671300
734,4687390
735,2244700
736,3123130
737,4218620
738,4049180
739,3644020
740,2400980
741,2938460
742,4745600
743,2266890
744,4504970
745,3915840
746,4430020
747,4738100
748,4186890
749,3640200
750,2885330
751,4200960
752,3960600
753,2275860
754,2220860
755,4090310
756,3255500
757,3971950
758,3867570
759,1872970
760,3183080
761,1879250
762,3100690
763,4771290
764,3469910
765,3809080
766,4043740
767,1148130
768,3810050
769,3477910
770,2411200
771,2052300
772,3264150
773,3714000
774,2346870
775,4664840
776,2842310
777,3481610
778,2065580
779,2413800
780,4061090
781,4364730
782,3470500
783,1167820
784,4564150
785,3839180
786,694320
787,4383190
788,4176460
789,4018380
790,1606970
791,632950
792,3219360
793,3473430
794,3878760
795,1445880
796,3066300
797,2444760
798,4114100
799,2679070
800,2356360
801,1963690
802,1171980
803,1349300
804,2616100
805,4150860
806,4278970
807,2248150
808,2313380
809,1048250
810,1871640
811,2548880
812,3602270
813,4438080
814,2372340
815,3685570
816,2613150
817,3376960
818,1403850
819,4487060
820,3266110
821,3431300
822,3325070
823,2936810
824,2792320
825,4452700
826,4096830
827,3036260
828,2487330
829,3846900
830,395830
831,3617990
832,2895410
833,2541950
834,3348370
835,1402820
836,2406140
837,1238190
838,3470960
839,3867130
840,2702430
841,4785110
842,4049810
843,4716160
844,2322260
845,3547270
846,4244770
847,1361090
848,4717850
849,3218100
850,3551140
851,2156390
852,4123800
853,2676350
854,2788210
855,3262820
856,2228250
857,3335310
858,1046920
859,3445250
860,937450
861,2085080
862,3564500
863,4040060
864,4704000
865,2869850
866,1803110
867,1268790
868,2362070
869,2420570
870,1108600
871,4420980
872,2083660
873,1879940
874,3891160
875,3681610
876,3788160
877,2389020
878,1577230
879,4513480
880,4280880
881,2405340
882,2929290
883,3636930
884,3758090
885,2591790
886,2106730
887,3459340
888,2787850
889,3340880
890,2303850
891,3164230
892,2822720
893,1403030
894,4336170
895,925500
896,3523120
897,3464670
898,1163020
899,1362000
900,3660260
901,2359660
902,4618570
903,1415230
904,3440200
905,3764400
906,4954970
907,3861710
908,3296060
909,3758950
910,1680780
911,2378230
912,3035270
913,2321960
914,3919900
915,4012150
916,811760
917,4574370
918,3356660
919,4045480
920,4241920
921,4244460
922,2561460
923,4373620
924,1688640
925,1722610
926,2184280
927,3113580
928,3726180
929,2743290
930,3135380
931,3699910
932,2134470
933,3301510
934,4691270
