rank,appid
560,292030
561,3070070
562,1056760
563,2362060
564,4241420
565,3228590
566,3337380
567,1746860
568,1627720
569,223750
570,2593290
571,24200
572,1888930
573,860510
574,107410
575,2737070
576,925580
577,1044720
578,1010821
579,824270
580,728880
581,361280
582,4224910
583,3412160
584,531130
585,1105420
586,1794680
587,1944430
588,1622100
589,1817070
590,2380740
591,620
592,3796290
593,2916430
594,1592190
595,2943650
596,926990
597,1466060
598,1573360
599,3489700
600,2288470
601,2016590
602,212500
603,3586990
604,1368820
605,1113410
606,633230
607,3784030
608,3478050
609,1451190
610,538030
611,2627570
612,2059190
613,1343370
614,516750
615,3473820
616,4538570
617,2239150
618,1089090
619,3645890
620,4318580
621,2325290
622,573090
623,1013320
624,1702010
625,2072560
626,673750
627,3195790
628,2230110
629,2863640
630,558244
631,22380
632,327070
633,4656920
634,1282270
635,2712950
636,368260
637,622650
638,897670
639,1942280
640,4496640
641,1593500
642,3669870
643,3258290
644,236850
645,4329260
646,2198150
647,629730
648,2681030
649,1049410
650,3501070
651,642280
652,1533390
653,1545560
654,12200
655,3146420
656,1227890
657,431730
658,2623190
659,4741040
660,1646850
661,678960
662,1286220
663,4399460
664,2225070
665,3314790
666,34330
667,2142790
668,1059550
669,1248130
670,1217060
671,686810
672,1099410
673,613100
674,2753000
675,1672970
676,200210
677,1647620
678,1622910
679,558990
680,582010
681,548430
682,2445690
683,1493640
684,3438810
685,392160
686,460790
687,3368610
688,2051620
689,2837730
690,3839250
691,4160210
692,2512920
693,2799860
694,3293260
695,16900
696,611790
697,4538560
698,2675740
699,505460
700,1948280
701,3802450
702,109600
703,1290000
704,4770140
705,1158160
706,851850
707,110800
708,4080030
709,239140
710,1857090
711,4172690
712,3953520
713,47890
714,3840050
715,2203070
716,704850
717,242050
718,2336880
719,349040
720,3012580
721,227310
722,42680
723,1106840
724,1912410
725,4508570
726,1682970
727,3115220
728,1274570
729,1162750
730,2414270
731,3407390
732,3796260
733,3450960
734,1676840
735,1562430
736,1259420
737,3450970
738,211500
739,2162800
740,961200
741,3905260
742,597180
743,3917090
744,459820
745,2327720
746,2679460
747,2848330
748,4078200
749,1392840
750,4322960
751,1859910
752,2885870
753,814380
754,494840
755,629520
756,1657630
757,699130
758,4735130
759,2373990
760,3213850
761,1150690
762,544810
763,3542380
764,2060160
765,1222700
766,1333350
767,1029780
768,1324780
769,1258080
770,2686630
771,1149640
772,3602570
773,1205970
774,1435790
775,3237970
776,1203190
777,293760
778,49520
779,1557740
780,1328670
781,1145360
782,4582080
783,3368620
784,29720
785,3100310
786,4760260
787,2646460
788,2306620
789,1063660
790,431240
791,4496490
792,3717070
793,2288630
794,2404880
795,4767590
796,990080
797,4492160
798,3450980
799,1419170
800,2996040
801,3793940
802,2113850
803,1486920
804,2119830
805,646570
806,3819640
807,2014780
808,597170
809,1338770
810,953880
811,1929610
812,2824490
813,3774910
814,2253100
815,1465750
816,483840
817,4218170
818,4466620
819,3583210
820,1629520
821,1332720
822,4304930
823,2009350
824,1997040
825,501300
826,1824060
827,2764750
828,435150
829,3859630
830,588650
831,683900
832,1611600
833,1286680
834,3595270
835,2444750
836,2524890
837,239030
838,2104890
839,1020790
840,3314070
841,2066550
842,2427743
843,1604270
844,3315530
845,3551410
846,814000
847,4100940
848,201870
849,3657930
850,674940
851,3092660
852,1700870
853,3025440
854,4141710
855,1953520
856,1826420
857,1546400
858,495420
859,4538540
860,4467980
861,3617290
862,4351410
863,3615160
864,710230
865,4323990
866,1985810
867,1118200
868,4427390
869,4195600
870,1588550
871,4049910
872,2730870
873,1237950
874,1235721
875,2231380
876,386940
877,1817190
878,1648533
879,1937780
880,386180
881,550470
882,1548850
883,597220
884,588430
885,335300
886,4310080
887,361420
888,1395520
889,3894440
890,2825860
891,3276050
892,2671070
893,2361770
894,17390
895,2638890
896,3453970
897,3681810
898,978300
899,3009300
900,4173620
901,4440380
902,933110
903,2933130
904,3609080
905,10180
906,1465460
907,387990
908,2878450
909,997010
910,4760270
911,1809540
912,865360
913,274520
914,3981100
915,1462040
916,553540
917,289650
918,3810680
919,3657940
920,235460
921,3979520
922,1446780
923,1211020
924,1954420
925,1374840
926,3590
927,2201320
928,4651970
929,3558670
930,1910680
931,1170950
932,2070270
933,1560250
934,2124120
935,544750
936,3509230
937,4508320
938,482400
939,230290
940,1888160
941,782330
942,3548690
943,3174070
944,2195120
945,24010
946,2873660
947,4496510
948,1989270
949,460930
950,3467040
951,8930
952,1088850
953,590830
954,10090
955,2754380
956,500
957,885970
958,546560
959,2170970
960,1876890
961,1456860
962,2964090
963,1689500
964,15100
965,1934140
966,2535950
967,2133760
968,2452280
969,1790600
970,2458980
971,3354750
972,1933390
973,252530
974,1119730
975,1442430
976,1366800
977,3137350
978,1658150
979,2527390
980,2489330
